,Age,DailyRate,Department,EducationField,Gender,MaritalStatus,MonthlyRate,OverTime,Bonus
37,35,890,Sales,Marketing,Female,Married,9687,No,10655.7
38,36,852,Research & Development,Life Sciences,Female,Married,13072,Yes,14379.2
39,33,1141,Sales,Life Sciences,Female,Married,3193,No,3512.3
40,35,464,Research & Development,Other,Male,Divorced,10910,No,12001.000000000002
41,27,1240,Research & Development,Life Sciences,Female,Divorced,19715,No,21686.5
42,26,1357,Research & Development,Life Sciences,Male,Single,10558,No,11613.800000000001
43,27,994,Sales,Life Sciences,Male,Single,2975,No,3272.5000000000005
44,30,721,Research & Development,Medical,Female,Single,10781,No,11859.1
45,41,1360,Research & Development,Technical Degree,Female,Married,16280,No,17908.0
46,34,1065,Sales,Marketing,Male,Single,10034,No,11037.400000000001
47,37,408,Research & Development,Life Sciences,Male,Married,10227,No,11249.7
48,46,1211,Sales,Marketing,Male,Single,20445,Yes,22489.5
49,35,1229,Research & Development,Life Sciences,Male,Married,4892,No,5381.200000000001
50,48,626,Research & Development,Life Sciences,Male,Single,19294,Yes,21223.4
51,28,1434,Research & Development,Technical Degree,Male,Single,11179,Yes,12296.900000000001
52,44,1488,Sales,Marketing,Female,Divorced,4009,Yes,4409.900000000001
53,35,1097,Research & Development,Medical,Male,Married,8302,Yes,9132.2
54,26,1443,Sales,Marketing,Female,Married,21436,Yes,23579.600000000002
55,33,515,Research & Development,Life Sciences,Female,Single,15146,Yes,16660.600000000002
56,35,853,Sales,Life Sciences,Male,Married,11031,No,12134.1
57,35,1142,Research & Development,Medical,Female,Married,16002,Yes,17602.2
58,31,655,Research & Development,Life Sciences,Male,Divorced,9528,No,10480.800000000001
59,37,1115,Research & Development,Life Sciences,Male,Divorced,2689,No,2957.9
60,32,427,Research & Development,Medical,Male,Married,10877,Yes,11964.7
61,38,653,Research & Development,Life Sciences,Female,Single,5456,No,6001.6
62,50,989,Research & Development,Medical,Female,Divorced,16701,Yes,18371.100000000002
63,59,1435,Sales,Life Sciences,Female,Single,2354,No,2589.4
64,36,1223,Research & Development,Technical Degree,Female,Divorced,8202,No,9022.2
65,55,836,Research & Development,Medical,Female,Divorced,19730,Yes,21703.0
66,36,1195,Research & Development,Life Sciences,Male,Single,22656,No,24921.600000000002
67,45,1339,Research & Development,Life Sciences,Male,Divorced,18787,No,20665.7
68,35,664,Research & Development,Medical,Male,Married,5868,No,6454.8
69,36,318,Research & Development,Medical,Male,Married,21777,Yes,23954.7
70,59,1225,Sales,Life Sciences,Female,Single,24668,No,27134.800000000003
71,29,1328,Research & Development,Life Sciences,Male,Married,4956,No,5451.6
72,31,1082,Research & Development,Medical,Male,Single,18775,No,20652.5
73,32,548,Research & Development,Life Sciences,Male,Married,7346,No,8080.6
74,36,132,Research & Development,Life Sciences,Female,Married,22002,No,24202.2
75,31,746,Research & Development,Life Sciences,Female,Single,20682,No,22750.2
76,35,776,Sales,Marketing,Male,Single,23016,No,25317.600000000002
77,45,193,Research & Development,Other,Male,Married,15067,Yes,16573.7
78,37,397,Research & Development,Medical,Male,Single,25258,No,27783.800000000003
79,46,945,Human Resources,Medical,Male,Divorced,10425,Yes,11467.500000000002
80,30,852,Research & Development,Life Sciences,Male,Married,15998,Yes,17597.800000000003
81,35,1214,Research & Development,Medical,Male,Single,26278,No,28905.800000000003
82,55,111,Sales,Life Sciences,Male,Married,18092,No,19901.2
83,38,573,Research & Development,Medical,Female,Divorced,15717,Yes,17288.7
84,34,1153,Research & Development,Medical,Male,Married,17736,No,19509.600000000002
85,56,1400,Research & Development,Life Sciences,Male,Single,21698,No,23867.800000000003
86,23,541,Sales,Technical Degree,Male,Divorced,9518,No,10469.800000000001
87,51,432,Research & Development,Life Sciences,Male,Married,18725,No,20597.5
88,30,288,Research & Development,Life Sciences,Male,Married,15830,No,17413.0
89,46,669,Sales,Medical,Male,Single,13596,No,14955.6
90,40,530,Research & Development,Life Sciences,Male,Married,14115,No,15526.500000000002
91,51,632,Sales,Marketing,Male,Single,8423,Yes,9265.300000000001
92,30,1334,Sales,Medical,Female,Divorced,19760,Yes,21736.0
93,46,638,Research & Development,Medical,Male,Married,3142,Yes,3456.2000000000003
94,32,1093,Sales,Medical,Male,Single,24301,No,26731.100000000002
95,54,1217,Research & Development,Technical Degree,Female,Married,24001,No,26401.100000000002
96,24,1353,Sales,Other,Female,Married,17519,No,19270.9
97,28,120,Sales,Medical,Male,Married,8863,No,9749.300000000001
98,58,682,Sales,Medical,Male,Single,24409,No,26849.9
99,44,489,Research & Development,Medical,Male,Married,25043,No,27547.300000000003
100,37,807,Human Resources,Human Resources,Male,Divorced,23648,Yes,26012.800000000003
101,32,827,Research & Development,Life Sciences,Male,Single,15178,No,16695.800000000003
102,20,871,Research & Development,Life Sciences,Female,Single,19783,Yes,21761.300000000003
103,34,665,Research & Development,Other,Female,Single,12482,No,13730.2
104,37,1040,Research & Development,Life Sciences,Male,Divorced,15850,No,17435.0
105,59,1420,Human Resources,Human Resources,Female,Married,21922,No,24114.2
106,50,1115,Research & Development,Life Sciences,Female,Married,9755,Yes,10730.5
107,25,240,Sales,Marketing,Male,Single,26959,Yes,29654.9
108,25,1280,Research & Development,Medical,Male,Married,26897,No,29586.7
109,22,534,Research & Development,Medical,Female,Single,23785,No,26163.500000000004
110,51,1456,Research & Development,Medical,Female,Single,25796,No,28375.600000000002
111,34,658,Research & Development,Life Sciences,Male,Single,22887,Yes,25175.7
112,54,142,Human Resources,Human Resources,Female,Single,13871,Yes,15258.1
113,24,1127,Research & Development,Life Sciences,Male,Married,13257,No,14582.7
114,34,1031,Research & Development,Life Sciences,Female,Divorced,15000,No,16500.0
115,37,1189,Sales,Life Sciences,Male,Single,14506,No,15956.600000000002
116,34,1354,Research & Development,Medical,Female,Single,5615,No,6176.500000000001
117,36,1467,Sales,Technical Degree,Female,Married,22952,No,25247.2
118,36,922,Research & Development,Life Sciences,Female,Divorced,2561,No,2817.1000000000004
119,43,394,Sales,Life Sciences,Male,Married,19494,Yes,21443.4
120,30,1312,Research & Development,Life Sciences,Male,Divorced,22310,No,24541.000000000004
121,33,750,Sales,Marketing,Male,Married,15480,No,17028.0
122,56,441,Research & Development,Life Sciences,Female,Married,4510,Yes,4961.0
123,51,684,Research & Development,Life Sciences,Male,Single,6462,No,7108.200000000001
124,31,249,Sales,Life Sciences,Male,Married,20739,Yes,22812.9
125,26,841,Research & Development,Other,Female,Married,23300,No,25630.000000000004
126,58,147,Research & Development,Medical,Female,Married,3465,No,3811.5000000000005
127,19,528,Sales,Marketing,Male,Single,26820,Yes,29502.000000000004
128,22,594,Research & Development,Technical Degree,Male,Married,19299,No,21228.9
129,49,470,Research & Development,Medical,Female,Married,5549,No,6103.900000000001
130,43,957,Research & Development,Medical,Female,Single,16090,No,17699.0
131,50,809,Sales,Marketing,Female,Single,6645,No,7309.500000000001
132,31,542,Sales,Life Sciences,Female,Married,24788,Yes,27266.800000000003
133,41,802,Sales,Life Sciences,Male,Divorced,21196,Yes,23315.600000000002
134,26,1355,Human Resources,Life Sciences,Female,Married,8916,No,9807.6
135,36,216,Research & Development,Medical,Male,Divorced,2819,No,3100.9
136,51,1150,Research & Development,Life Sciences,Male,Single,25150,No,27665.000000000004
137,39,1329,Sales,Life Sciences,Female,Married,14590,No,16049.000000000002
138,25,959,Sales,Life Sciences,Male,Married,24835,No,27318.500000000004
139,30,1240,Human Resources,Human Resources,Male,Married,13982,Yes,15380.2
140,32,1033,Research & Development,Medical,Female,Single,10224,No,11246.400000000001
141,45,1316,Research & Development,Medical,Male,Single,9752,No,10727.2
142,38,364,Research & Development,Technical Degree,Female,Single,2302,Yes,2532.2000000000003
143,30,438,Research & Development,Life Sciences,Female,Single,23910,No,26301.000000000004
144,32,689,Sales,Medical,Male,Divorced,22812,No,25093.2
145,30,201,Research & Development,Technical Degree,Female,Divorced,10415,No,11456.500000000002
146,30,1427,Research & Development,Medical,Male,Single,11162,No,12278.2
147,41,857,Research & Development,Life Sciences,Male,Divorced,12888,No,14176.800000000001
148,41,933,Research & Development,Life Sciences,Male,Married,6961,No,7657.1
149,19,1181,Research & Development,Medical,Female,Single,16102,No,17712.2
150,40,1395,Research & Development,Medical,Female,Divorced,8504,No,9354.400000000001
151,35,662,Sales,Marketing,Male,Married,11439,No,12582.900000000001
152,53,1436,Sales,Marketing,Male,Married,16047,Yes,17651.7
153,45,194,Research & Development,Life Sciences,Male,Divorced,10901,No,11991.1
154,32,967,Sales,Marketing,Female,Single,15589,No,17147.9
155,29,1496,Research & Development,Technical Degree,Male,Married,26283,No,28911.300000000003
156,51,1169,Research & Development,Medical,Male,Married,13983,No,15381.300000000001
157,58,1145,Research & Development,Medical,Female,Married,11873,Yes,13060.300000000001
158,40,630,Sales,Marketing,Male,Married,8552,No,9407.2
159,34,303,Sales,Marketing,Female,Married,11314,No,12445.400000000001
160,22,1256,Research & Development,Medical,Male,Married,11992,No,13191.2
161,27,691,Research & Development,Medical,Male,Divorced,5970,No,6567.000000000001
162,28,440,Research & Development,Medical,Male,Married,6672,No,7339.200000000001
163,57,334,Research & Development,Life Sciences,Male,Divorced,23402,Yes,25742.2
164,27,1450,Research & Development,Medical,Male,Divorced,25326,Yes,27858.600000000002
165,50,1452,Research & Development,Life Sciences,Female,Single,17053,No,18758.300000000003
166,41,465,Research & Development,Life Sciences,Male,Divorced,4609,No,5069.900000000001
167,30,1339,Sales,Life Sciences,Female,Married,8053,No,8858.300000000001
168,38,702,Sales,Life Sciences,Female,Single,12930,No,14223.000000000002
169,32,120,Research & Development,Life Sciences,Male,Single,12430,No,13673.000000000002
170,27,1157,Research & Development,Technical Degree,Male,Married,13364,Yes,14700.400000000001
171,19,602,Sales,Technical Degree,Female,Single,20989,No,23087.9
172,36,1480,Research & Development,Medical,Male,Single,15062,No,16568.2
173,30,111,Research & Development,Medical,Male,Divorced,11012,No,12113.2
174,45,1268,Sales,Life Sciences,Female,Divorced,6319,Yes,6950.900000000001
175,56,713,Research & Development,Life Sciences,Female,Divorced,13939,Yes,15332.900000000001
176,33,134,Research & Development,Life Sciences,Male,Single,10515,No,11566.500000000002
177,19,303,Research & Development,Life Sciences,Male,Single,9241,No,10165.1
178,46,526,Sales,Marketing,Female,Divorced,2137,No,2350.7000000000003
179,38,1380,Research & Development,Life Sciences,Female,Single,6319,No,6950.900000000001
180,31,140,Research & Development,Medical,Female,Married,6984,Yes,7682.400000000001
181,34,629,Research & Development,Medical,Female,Single,5711,No,6282.1
182,41,1356,Sales,Marketing,Female,Single,21728,Yes,23900.800000000003
183,50,328,Research & Development,Medical,Male,Married,3425,No,3767.5000000000005
184,53,1084,Research & Development,Medical,Female,Divorced,26250,No,28875.000000000004
185,33,931,Research & Development,Medical,Female,Married,4673,No,5140.3
186,40,989,Research & Development,Medical,Female,Married,6499,No,7148.900000000001
187,55,692,Research & Development,Medical,Male,Single,13339,No,14672.900000000001
188,34,1069,Research & Development,Life Sciences,Male,Married,14074,No,15481.400000000001
189,51,313,Research & Development,Medical,Female,Single,7192,No,7911.200000000001
190,52,699,Research & Development,Life Sciences,Male,Married,5678,No,6245.8
191,27,894,Research & Development,Medical,Female,Single,11781,No,12959.1
192,35,556,Research & Development,Life Sciences,Male,Married,15497,Yes,17046.7
193,43,1344,Research & Development,Medical,Male,Divorced,5228,No,5750.8
194,45,1195,Research & Development,Medical,Male,Married,20462,No,22508.2
195,37,290,Research & Development,Life Sciences,Male,Married,22977,Yes,25274.7
196,35,138,Research & Development,Medical,Female,Single,15986,No,17584.600000000002
197,42,926,Research & Development,Medical,Female,Divorced,16439,No,18082.9
198,38,1261,Research & Development,Life Sciences,Male,Married,7259,No,7984.900000000001
199,38,1084,Research & Development,Technical Degree,Male,Married,4185,No,4603.5
200,27,472,Research & Development,Technical Degree,Male,Married,9679,No,10646.900000000001
201,49,1002,Research & Development,Life Sciences,Male,Divorced,23793,Yes,26172.300000000003
202,34,878,Research & Development,Medical,Male,Divorced,5972,Yes,6569.200000000001
203,40,905,Research & Development,Medical,Male,Married,16523,Yes,18175.300000000003
204,38,1180,Research & Development,Medical,Male,Married,11354,Yes,12489.400000000001
205,29,121,Sales,Marketing,Female,Married,24525,No,26977.500000000004
206,22,1136,Research & Development,Life Sciences,Male,Divorced,12392,Yes,13631.2
207,36,635,Research & Development,Medical,Female,Single,7703,No,8473.300000000001
208,40,1151,Research & Development,Life Sciences,Male,Married,14242,No,15666.2
209,46,644,Research & Development,Medical,Male,Divorced,12368,No,13604.800000000001
210,32,1045,Sales,Medical,Male,Married,25812,No,28393.2
211,30,829,Research & Development,Life Sciences,Male,Single,20925,No,23017.500000000004
212,27,1242,Sales,Life Sciences,Female,Single,12916,No,14207.6
213,51,1469,Research & Development,Life Sciences,Male,Married,15736,No,17309.600000000002
214,30,1005,Research & Development,Technical Degree,Female,Single,8556,Yes,9411.6
215,41,896,Sales,Life Sciences,Female,Single,14674,Yes,16141.400000000001
216,30,334,Sales,Marketing,Female,Single,22967,No,25263.7
217,29,992,Research & Development,Technical Degree,Male,Single,19757,No,21732.7
218,45,1052,Sales,Medical,Female,Single,16840,No,18524.0
219,54,1147,Sales,Marketing,Female,Married,17011,No,18712.100000000002
220,36,1396,Research & Development,Life Sciences,Male,Single,9945,No,10939.5
221,33,147,Research & Development,Medical,Female,Married,13248,No,14572.800000000001
222,37,663,Research & Development,Other,Male,Divorced,10056,Yes,11061.6
223,38,119,Sales,Life Sciences,Male,Divorced,9647,No,10611.7
224,31,979,Research & Development,Medical,Male,Married,4381,No,4819.1
225,59,142,Research & Development,Life Sciences,Male,Married,8456,No,9301.6
226,37,319,Sales,Marketing,Male,Divorced,2539,No,2792.9
227,29,1413,Sales,Medical,Female,Married,6599,No,7258.900000000001
228,35,944,Sales,Marketing,Female,Single,9096,No,10005.6
229,29,896,Research & Development,Medical,Male,Single,14961,Yes,16457.100000000002
230,52,1323,Research & Development,Life Sciences,Female,Single,3300,No,3630.0000000000005
231,42,532,Research & Development,Technical Degree,Male,Married,4933,No,5426.3
232,59,818,Human Resources,Medical,Male,Married,25657,No,28222.7
233,50,854,Sales,Medical,Female,Divorced,24118,No,26529.800000000003
234,33,813,Research & Development,Medical,Male,Married,22149,Yes,24363.9
235,43,1034,Sales,Marketing,Female,Married,7744,Yes,8518.400000000001
236,33,465,Research & Development,Life Sciences,Female,Married,21509,No,23659.9
237,52,771,Sales,Life Sciences,Male,Single,21030,Yes,23133.000000000004
238,32,1401,Sales,Life Sciences,Female,Married,20990,No,23089.000000000004
239,32,515,Research & Development,Life Sciences,Male,Single,9571,Yes,10528.1
240,39,1431,Research & Development,Medical,Female,Divorced,15417,No,16958.7
241,32,976,Sales,Marketing,Male,Married,12069,No,13275.900000000001
242,41,1411,Research & Development,Life Sciences,Male,Divorced,19877,No,21864.7
243,40,1300,Research & Development,Technical Degree,Male,Divorced,24447,No,26891.7
244,45,252,Research & Development,Other,Male,Married,15970,No,17567.0
245,31,1327,Research & Development,Medical,Male,Divorced,13523,No,14875.300000000001
246,33,832,Research & Development,Life Sciences,Female,Married,14776,No,16253.600000000002
247,34,470,Research & Development,Life Sciences,Male,Married,23687,No,26055.7
248,37,1017,Research & Development,Medical,Female,Married,18697,No,20566.7
249,45,1199,Research & Development,Life Sciences,Male,Married,5118,No,5629.8
250,37,504,Research & Development,Medical,Male,Divorced,22573,No,24830.300000000003
251,39,505,Research & Development,Technical Degree,Female,Single,6420,No,7062.000000000001
252,29,665,Research & Development,Life Sciences,Male,Single,22673,No,24940.300000000003
253,42,916,Research & Development,Life Sciences,Female,Single,23016,Yes,25317.600000000002
254,29,1247,Sales,Marketing,Male,Divorced,10732,No,11805.2
255,25,685,Research & Development,Life Sciences,Female,Married,7505,No,8255.5
256,42,269,Research & Development,Medical,Female,Divorced,8007,Yes,8807.7
257,40,1416,Research & Development,Medical,Male,Divorced,5949,No,6543.900000000001
258,51,833,Research & Development,Life Sciences,Male,Married,23231,No,25554.100000000002
259,31,307,Research & Development,Medical,Male,Single,11652,No,12817.2
260,32,1311,Research & Development,Life Sciences,Male,Married,26062,No,28668.2
261,38,1327,Sales,Life Sciences,Male,Married,19682,No,21650.2
262,32,128,Research & Development,Technical Degree,Male,Single,19737,No,21710.7
263,46,488,Sales,Technical Degree,Female,Married,14977,Yes,16474.7
264,28,529,Research & Development,Life Sciences,Male,Single,14935,No,16428.5
265,29,1210,Sales,Medical,Male,Married,3687,No,4055.7000000000003
266,31,1463,Research & Development,Medical,Male,Married,14408,No,15848.800000000001
267,25,675,Research & Development,Life Sciences,Male,Divorced,18384,No,20222.4
268,45,1385,Research & Development,Medical,Male,Married,7501,Yes,8251.1
269,36,1403,Research & Development,Life Sciences,Male,Married,20251,No,22276.100000000002
270,55,452,Research & Development,Medical,Male,Single,18938,Yes,20831.800000000003
271,47,666,Research & Development,Life Sciences,Male,Married,10268,Yes,11294.800000000001
272,28,1158,Research & Development,Medical,Male,Married,2613,No,2874.3
273,37,228,Sales,Medical,Male,Married,22825,No,25107.500000000004
274,21,996,Research & Development,Medical,Male,Single,10531,No,11584.1
275,37,728,Research & Development,Medical,Female,Divorced,11677,Yes,12844.7
276,35,1315,Research & Development,Life Sciences,Female,Divorced,19100,No,21010.0
277,38,322,Sales,Medical,Female,Divorced,19191,Yes,21110.100000000002
278,26,1479,Research & Development,Life Sciences,Female,Divorced,26767,No,29443.7
279,50,797,Research & Development,Life Sciences,Male,Divorced,15815,No,17396.5
280,53,1070,Research & Development,Medical,Male,Married,21016,Yes,23117.600000000002
281,42,635,Sales,Life Sciences,Male,Married,24532,No,26985.2
282,29,442,Sales,Life Sciences,Male,Single,20260,No,22286.0
283,55,147,Research & Development,Technical Degree,Male,Married,15972,Yes,17569.2
284,26,496,Research & Development,Medical,Male,Married,22722,Yes,24994.2
285,37,1372,Research & Development,Life Sciences,Female,Single,15881,No,17469.100000000002
286,44,920,Research & Development,Life Sciences,Male,Divorced,19920,Yes,21912.0
287,38,688,Research & Development,Life Sciences,Male,Divorced,18899,No,20788.9
288,26,1449,Research & Development,Medical,Male,Divorced,14180,Yes,15598.000000000002
289,28,1117,Research & Development,Life Sciences,Female,Single,4488,No,4936.8
290,49,636,Research & Development,Life Sciences,Female,Single,25594,Yes,28153.4
291,36,506,Research & Development,Technical Degree,Male,Single,26285,No,28913.500000000004
292,31,444,Sales,Marketing,Female,Divorced,3909,No,4299.900000000001
293,26,950,Sales,Marketing,Male,Single,8450,Yes,9295.0
294,37,889,Research & Development,Medical,Male,Married,11411,Yes,12552.1
295,42,555,Sales,Marketing,Female,Married,14864,No,16350.400000000001
296,18,230,Research & Development,Life Sciences,Male,Single,25233,No,27756.300000000003
297,35,1232,Sales,Marketing,Male,Married,5100,No,5610.0
298,36,566,Research & Development,Life Sciences,Male,Married,7122,No,7834.200000000001
299,51,1302,Research & Development,Medical,Male,Divorced,16321,No,17953.100000000002
300,41,334,Sales,Life Sciences,Male,Single,15896,No,17485.600000000002
301,18,812,Sales,Medical,Female,Single,9724,No,10696.400000000001
302,28,1476,Research & Development,Medical,Male,Single,4824,No,5306.400000000001
303,31,218,Sales,Technical Degree,Male,Married,12241,No,13465.1
304,39,1132,Research & Development,Medical,Male,Divorced,10942,No,12036.2
305,36,1105,Research & Development,Life Sciences,Female,Married,6927,No,7619.700000000001
306,32,906,Sales,Life Sciences,Male,Married,16985,No,18683.5
307,38,849,Research & Development,Life Sciences,Female,Married,26707,No,29377.7
308,58,390,Research & Development,Life Sciences,Male,Divorced,17056,Yes,18761.600000000002
309,31,691,Research & Development,Technical Degree,Male,Married,10077,Yes,11084.7
310,31,106,Human Resources,Human Resources,Male,Married,17822,No,19604.2
311,45,1249,Research & Development,Life Sciences,Male,Divorced,20308,No,22338.800000000003
312,31,192,Research & Development,Life Sciences,Male,Divorced,7747,Yes,8521.7
313,33,553,Research & Development,Life Sciences,Female,Married,23364,No,25700.4
314,39,117,Research & Development,Medical,Male,Married,5355,Yes,5890.500000000001
315,43,185,Research & Development,Life Sciences,Female,Single,10675,No,11742.500000000002
316,49,1091,Research & Development,Technical Degree,Female,Single,17810,Yes,19591.0
317,52,723,Research & Development,Medical,Male,Married,17747,No,19521.7
318,27,1220,Research & Development,Life Sciences,Female,Single,20938,Yes,23031.800000000003
319,32,588,Sales,Technical Degree,Female,Married,24624,Yes,27086.4
320,27,1377,Sales,Life Sciences,Male,Single,5242,Yes,5766.200000000001
321,31,691,Sales,Marketing,Male,Divorced,7143,No,7857.3
322,32,1018,Research & Development,Medical,Female,Single,10557,No,11612.7
323,28,1157,Research & Development,Medical,Male,Married,24737,Yes,27210.7
324,30,1275,Research & Development,Medical,Female,Married,11934,No,13127.400000000001
325,31,798,Research & Development,Life Sciences,Female,Married,14034,No,15437.400000000001
326,39,672,Research & Development,Medical,Male,Married,21141,No,23255.100000000002
327,39,1162,Sales,Medical,Female,Married,17778,Yes,19555.800000000003
328,33,508,Sales,Marketing,Male,Single,4317,No,4748.700000000001
329,47,1482,Research & Development,Life Sciences,Male,Married,16375,No,18012.5
330,43,559,Research & Development,Life Sciences,Female,Divorced,6227,No,6849.700000000001
331,27,210,Sales,Marketing,Male,Married,22107,Yes,24317.7
332,54,928,Research & Development,Life Sciences,Female,Single,16885,No,18573.5
333,43,1001,Research & Development,Life Sciences,Female,Married,9262,No,10188.2
334,45,549,Research & Development,Other,Male,Married,9278,No,10205.800000000001
335,40,1124,Sales,Medical,Male,Married,13273,Yes,14600.300000000001
336,29,318,Research & Development,Other,Male,Married,4759,Yes,5234.900000000001
337,29,738,Research & Development,Other,Male,Single,7621,No,8383.1
338,30,570,Sales,Marketing,Female,Divorced,5431,No,5974.1
339,27,1130,Sales,Marketing,Female,Married,3415,No,3756.5000000000005
340,37,1192,Research & Development,Medical,Male,Divorced,23177,No,25494.7
341,38,343,Research & Development,Life Sciences,Male,Divorced,15682,Yes,17250.2
342,31,1232,Research & Development,Medical,Female,Single,25713,Yes,28284.300000000003
343,29,144,Sales,Marketing,Female,Divorced,11866,Yes,13052.6
344,35,1296,Research & Development,Technical Degree,Male,Single,18264,No,20090.4
345,23,1309,Research & Development,Life Sciences,Male,Divorced,16092,No,17701.2
346,41,483,Research & Development,Medical,Male,Single,10110,Yes,11121.0
347,47,1309,Sales,Medical,Male,Single,25751,No,28326.100000000002
348,42,810,Research & Development,Life Sciences,Female,Single,15901,No,17491.100000000002
349,29,746,Sales,Life Sciences,Male,Married,16928,No,18620.800000000003
350,42,544,Human Resources,Technical Degree,Male,Divorced,24017,Yes,26418.7
351,32,1062,Research & Development,Medical,Female,Married,3956,No,4351.6
352,48,530,Sales,Medical,Female,Married,23978,No,26375.800000000003
353,37,1319,Research & Development,Medical,Male,Divorced,17001,Yes,18701.100000000002
354,30,641,Sales,Technical Degree,Female,Married,6069,Yes,6675.900000000001
355,26,933,Sales,Life Sciences,Male,Married,20156,No,22171.600000000002
356,42,1332,Research & Development,Other,Male,Single,17078,No,18785.800000000003
357,21,756,Sales,Technical Degree,Female,Single,9150,Yes,10065.0
358,36,845,Sales,Medical,Female,Single,15276,No,16803.600000000002
359,36,541,Sales,Medical,Male,Married,7246,No,7970.6
360,57,593,Research & Development,Medical,Male,Married,2967,No,3263.7000000000003
361,40,1171,Research & Development,Life Sciences,Female,Married,22495,Yes,24744.500000000004
362,21,895,Sales,Medical,Male,Single,2851,No,3136.1000000000004
363,33,350,Sales,Marketing,Female,Single,9150,Yes,10065.0
364,37,921,Research & Development,Medical,Female,Married,17663,No,19429.300000000003
365,46,1144,Research & Development,Medical,Female,Married,16044,No,17648.4
366,41,143,Sales,Marketing,Male,Single,9558,No,10513.800000000001
367,50,1046,Research & Development,Technical Degree,Male,Single,2755,No,3030.5000000000005
368,40,575,Sales,Marketing,Male,Married,6110,Yes,6721.000000000001
369,31,408,Research & Development,Life Sciences,Male,Single,7551,Yes,8306.1
370,21,156,Sales,Life Sciences,Female,Single,25422,No,27964.2
371,29,1283,Research & Development,Life Sciences,Male,Single,18168,No,19984.800000000003
372,35,755,Research & Development,Life Sciences,Male,Single,19394,No,21333.4
373,27,1469,Research & Development,Medical,Male,Divorced,17881,No,19669.100000000002
374,28,304,Sales,Life Sciences,Male,Single,20750,No,22825.000000000004
375,49,1261,Research & Development,Other,Male,Single,12066,No,13272.6
376,51,1178,Sales,Life Sciences,Female,Married,14862,No,16348.2
377,36,329,Research & Development,Life Sciences,Female,Married,11868,No,13054.800000000001
378,34,1362,Sales,Marketing,Male,Single,4652,Yes,5117.200000000001
379,55,1311,Research & Development,Life Sciences,Female,Single,23258,Yes,25583.800000000003
380,24,1371,Sales,Marketing,Female,Divorced,5915,Yes,6506.500000000001
381,30,202,Sales,Technical Degree,Male,Married,17434,No,19177.4
382,26,575,Research & Development,Technical Degree,Male,Single,6582,No,7240.200000000001
383,22,253,Research & Development,Medical,Female,Married,24440,No,26884.000000000004
384,36,164,Sales,Medical,Male,Married,3809,No,4189.900000000001
385,30,464,Research & Development,Technical Degree,Male,Single,3427,Yes,3769.7000000000003
